Gender,Champion,Runner-up Nationality,Champion Nationality,Runner-up,Score,Year
Women's,M.C. Connolly,USA,USA,A.L. Brough,"6-2, 7-5,",1954
Women's,S.J. Williams,USA,USA,V.E.S. Williams,"4-6, 6-4, 6-2",2003
Women's,A. Gibson,USA,USA,D.R. Hard,"6-3, 6-2,",1957
Women's,F.S. Moody,USA,USA,H.H. Jacobs,"6-3, 6-1",1932
Women's,H.N. Wills,USA,USA,H.H. Jacobs,"6-1, 6-2",1929
Women's,A. Marble,GBR,USA,K.E. Stammers,"6-2, 6-0",1939
Women's,L.W. King,AUS,USA,J.A.M. Tegart,"9-7, 7-5,",1968
Women's,F.S. Moody,USA,USA,E.M. Ryan,"6-2, 6-2",1930
Women's,A. Gibson,GBR,USA,F.A.M. Mortimer,"8-6, 6-2,",1958
Women's,F.S. Moody,USA,USA,H.H. Jacobs,"6-4, 6-0",1938
Women's,V.E.S. Williams,USA,USA,L. Davenport,"4-6, 7-6 (7-4), 9-7",2005
Women's,L.W. King,AUS,USA,E.F. Goolagong,"6-3, 6-3,",1972
Women's,M. Navratilova,USA,USA,C.M. Evert,"2-6, 6-4, 7-5,",1978
Women's,S.J. Williams,USA,USA,V.E.S. Williams,"7-6 (7-4), 6-3",2002
Women's,A.L. Brough,USA,USA,J.G. Fleitz,"7-5, 8-6,",1955
Women's,S.J. Williams,USA,USA,V.E.S. Williams,"7-6 (7-3), 6-2",2009
Women's,A.L. Brough,USA,USA,D.J. Hart,"6-3, 8-6,",1948
Women's,L.W. King,USA,USA,C.M. Evert,"6-0, 7-5",1973
Women's,M.C. Connolly,USA,USA,A.L. Brough,"7-5, 6-3,",1952
Women's,H.H. Jacobs,GER,USA,S. Sperling,"6-2, 4-6, 7-5",1936
Women's,M. Navratilova,USA,USA,Z.L. Garrison,"6-4, 6-1,",1990
Women's,V.E.S. Williams,BEL,USA,J. Henin,"6-1, 3-6, 6-0",2001
Women's,C.M. Evert,URS,USA,O.V. Morozova,"6-0, 6-4",1974
Women's,V.E.S. Williams,FRA,USA,M. Bartoli,"6-4, 6-1",2007
Women's,L.A. Davenport,GER,USA,S.M. Graf,"6-4, 7-5",1999
Women's,L.W. King,AUS,USA,R.A. Cawley,"6-0, 6-1,",1975
Women's,D.J. Hart,USA,USA,S.J. Fry,"6-1, 6-0",1951
Women's,L.W. King,BRA,USA,M.E.A. Bueno,"6-3, 3-6, 6-1,",1966
Women's,F.S. Moody,USA,USA,H.H. Jacobs,"6-3, 3-6, 7-5",1935
Women's,V.E.S. Williams,USA,USA,L.A. Davenport,"6-3, 7-6 (7-3)",2000
Women's,S.J. Fry,GBR,USA,A. Buxton,"6-3, 6-1,",1956
Women's,S. Williams,POL,USA,A. Radwańska,"6-1, 5-7, 6-2",2012
Women's,V.E.S. Williams,USA,USA,S.J. Williams,"7-5, 6-4",2008
Women's,J.R. Susman,TCH,USA,C. Sukova,"6-4, 6-4,",1962
