Pro_name,Pro_color,Cus_name,Rating,Title,Date,Review
iphone 11,Black,Amazon Customer,1,BRAND NEW PHONE FOR USED PRICE,"Reviewed in the United States on February 11, 2021",So pleased. The phone came with a screen protector on it already even! And wea??ll placed! No scuffs. Phone is seriously like brand new. Battery is 99%. I was skeptical after a bunch of 1 star reviews but figured I would try it because there is a 90 day 
iphone 11,Black,Lee,1,Phone is nothing more than a paper weight now,"Reviewed in the United States on April 25, 2020",After only 3.5 months the phone is completely dead and will not charge. Took to Apple store and was told it would have to be replaced. WTH! Ordered and received early October 2020. Started having charging issues last week and now it is completely dead. A
iphone 11,Black,Giuseppe curreri,5,Great deal!,"Reviewed in the United States on January 9, 2020",Bought refurbished Ia??m assuming only open box as the item seemed 100%brand new would recommend the seller
iphone 11,Black,Desiree c,1,I like,"Reviewed in the United States on September 26, 2020",It's ok
iphone 11,Black,Khoco,1,Lock screen is blurry and flickering as soon as trying to unlock,"Reviewed in the United States on July 8, 2020"," The lock screen is flickering and getting blurry .. everything else seems to be fine , I tried to restart it again but ita??s not working"
iphone 11,Black,Mr. Happy,5,Dona??t do it waste of money,"Reviewed in the United States on January 11, 2020","For the most part everything is okay
Different parts of the screen wona??t work during certain times
So I have to lock and unlock my phone constantly Nd hope it will work after
While writing this review I cana??t even hit the bottom right corner to add p"
iphone 11,Black,Bruce F.,5,e???e???,"Reviewed in the United States on March 18, 2021",Recomended!!
iphone 11,Black,Amazon Customer,5,iPhone 11,"Reviewed in the United States on July 24, 2020",I am absolutely happy with my purchase! Ia??ve gone through the reviews and was ready to order right after. The only thing is my battery health was at 84% as I seen others with 100% which is fine by me. Ita??s nothing to go get a new battery when and if 
iphone 11,Black,brenda,,"Thank you e?¡ì?e???a??a?????e?¡ì?e???a??a?????""If youa??re thinking about buying this buy it right now! I had iPhone 7 and wanted another phone I can have years to come it took me two months to buy this because how much money. When I did BOY! I have never ","Reviewed in the United States on April 18, 2020",
iphone 11,Black,,,,,
iphone 11,Black,1.0 out of 5 stars,,,,
iphone 11,Black,Katherine,1,Worst buy ever,"Reviewed in the United States on November 6, 2020",I cana??t send messages to anyone who doesna??t have an iPhone. The power button doesna??t work correctly and often times Siri doesna??t respond. The only way to get the issue corrected is to be without a phone until the seller sends me a new one. Ia??d 
iphone 11,Black,Melody Wang,5,Selling the last of faulty devices,"Reviewed in the United States on October 19, 2020","Certified. Refurbished. Quality Controlled. 70-point inspection.
All indicators that you better insure any and every product purchased under the brand BuySpry because as the name suggests it will break quickly. Hopefully you are one of the lucky ones tha"
iphone 11,Black,Naima,5,Good Decision,"Reviewed in the United States on May 12, 2020","I have never bought a used phone before and I've never bought one online. I always went through my carrier. However, this time I was ready to save some money and get an unlocked phone. I was a little nervous but I did some research and then took a risk s"
iphone 11,Black,RinkyDink,5,"Switch from Android flagships to this, and happily surprised.","Reviewed in the United States on January 13, 2021","I got this when the battery life in my last phone, the LG V30 started tanking. I figured that I could easily try the current iPhone and sell it again if I didn't like it. I am pleasantly surprised by pretty much everything this phone offers.

I'm going t"
iphone 11,Black,Karla Owens-Personal,1,very fast delivery,"Reviewed in the United States on July 16, 2020","Apple iPhone 11, 64GB, Red - Fully Unlocked (Renewed) arrived in only two days nicely packaged and looks brand new! Only one, barely noticeable scratch on the screen and a very tiny scratch on the side that you can notice if you hold it really close to y"
iphone 11,Black,lizzy,5,DONT BUY,"Reviewed in the United States on April 24, 2020",I received a phone that had a crack in the screen which wasna??t that big of a deal but the something was off with camera though compared it my boyfriends phone who ordered the same one from Apple and I think it was replaced with a different one and the 
iphone 11,Black,Edwingn Moya luna,2,Loveeeeee it !!!! e???,"Reviewed in the United States on July 26, 2021","Ita??s a refurbished phone I dona??t mind that it didna??t come in an original box, the phone itself is in very very good shape, I was so skeptical about buying this phone from amazon since ita??s my first time buying a phone online but it is in very goo"
iphone 11,Black,Juanjo,5,Very visibly used and not worth the $100 price difference compared to a new phone,"Reviewed in the United States on June 10, 2020",This review is based on the renewed status of the phone and not of the iPhone itself. I had previously purchased a renewed Galaxy phone from Amazon and the phone was practically new for a small fraction of the price and it came with the original box and
iphone 11,Black,Natasha,5,Best Buy!!,"Reviewed in the United States on April 30, 2020","This was an amazing buy from Kiss Electronics. No issues with phone operation so far, only just received & setup. Was packaged nicely & came with an adapter and a charging cable (no headset). Iphone product Red body was in good condition. Small scratches"
iphone 11,Black,Amy,4,Great option and price,"Reviewed in the United States on June 16, 2020","A BIG thank you for selling iPhones on Amazon! I wanted this phone so bad and couldna??t get my hands on it anywhere unlocked. I am so glad I could buy in through Amazon, This is how we get everything so we knew it was reliable. The phone did not come in"
iphone 11,Black,Ida B.,5,Love it!,"Reviewed in the United States on December 23, 2019",camera came slightly scratched but overall a good purchase
iphone 11,Black,brenda,5,Hard to figure out how to use it. Not for seniors.,"Reviewed in the United States on May 1, 2020",Not user friendly. I might have to return it. I have to learn how to clean it before I send it back as it loaded my pictures from my other phone.
iphone 11,Black,Katherine,3,Like new!,"Reviewed in the United States on March 6, 2021","No scratches or damage on the screen, or, for that matter, any part of the phone! SO happy I took the plunge and bought the phone, it has been well worth it so far!
-no scratches or dents anywhere
-battery capacity 100%
-unlocked & everything as advertis"
iphone 11,Black,Jess,1,Phone coulda??ve been better the price is a little too high .,"Reviewed in the United States on May 8, 2021","The phone came in with scratches on it but after I put the screen protector on you cana??t see it and whenever you put the screen protector on ita??s gone have some like bubbles I put it on over and over and the bubbles seems to not go away but, overall "
iphone 11,Black,Amazon Customer,1,"Works great, looks brand new","Reviewed in the United States on August 20, 2021","My sister is absolutely in love with this phone e??? she was so surprised when I gave it to her, very fast shipping packaging was great."
iphone 11,Black,Chy,4,Therea??s a problem with this device,"Reviewed in the United States on May 1, 2020",Just got my iPhone 11 today and I was so anxious of using it but had to wait 2 hours for everything to set up. After that a message popped up saying that my phone screen may not be genuine so I freaked out because it supposed to be all ortigal? Right wel
iphone 11,Black,Anthony H,1,"Okay quality, a few complaints.","Reviewed in the United States on May 3, 2020","It came in perfect condition, no scratches, nothing was wrong. The battery life was at 100 percent. I had no complaints. One thing I noticed was that the app snapchat is glitchy on the phone. If you try to edit something for your story it just discards i"
iphone 11,Black,MG,1,Screen was scratched,"Reviewed in the United States on October 25, 2021",I paid $ 720 but the screen was scratched. Should not be bought at this shop.
