transaction date,est_revenue,vod_revenue,est_trannx,vod_trannx,nr_est_rev,nr_vod_rev,lib_est_rev,lib_vod_rev,d2d_revenue,total_rev,discounted_rev,new_paids,ex_paids
00:00.0,644504.66,126369.43,47864,37903,404320.63,77045.94,162881.15,49323.49,22565.97,793486.03,63504.91,2972,60202
00:00.0,972547.25,252235.4,66829,67332,655292.17,167460.94,227309.02,84774.46,28576.52,1253493.06,84839.65,4839,98301
00:00.0,1080719.4,356918.54,74462,91927,698884.27,236075.6,280982.93,120842.94,43505.31,1481228.18,86859.67,6933,120384
00:00.0,938081.15,315784.35,66660,84716,559075.81,198724.86,275665.73,117059.49,41150.3,1295076.74,87361.75,6422,108333
00:00.0,691977.82,172253.7,49288,44174,409715.04,97412.03,196398.95,74841.67,27627.39,891926.85,55457.94,3767,69477
00:00.0,1244104.67,141891.75,76034,34018,984523.28,91618.59,192313.06,50273.16,22203.82,1408262.18,66369.07,3413,84945
00:00.0,736167.1,134474.44,49737,32032,492894.58,85181.74,172304.38,49292.7,26810.1,897576.54,47022.42,2886,62147
00:00.0,816204.94,145689.09,54810,33940,501476.25,91248.06,233185.25,54441.03,29314.35,991366.25,52074.82,3121,65389
00:00.0,1137622.88,284682.78,73444,62508,750827.18,194166.01,299289.79,90516.77,32846.79,1455241.38,70376.62,4943,104167
00:00.0,1225817.47,396853.23,79450,87491,790768.59,269204.2,336547.83,127649.03,45240.22,1667995.85,66888.36,6912,126649
00:00.0,923705.92,294241.15,63350,66922,525294.98,188467.26,291784.53,105773.89,43270.45,1261280.46,54962.06,5839,97534
00:00.0,550284.67,117257.02,43911,28144,299170.37,65559.23,167258.45,51697.79,27023.43,694652.05,34154.47,2793,54276
00:00.0,674114.25,160591.06,59234,36363,355058.36,116941.72,243373.27,43649.34,26430.14,861189.4,158406.13,3110,64972
00:00.0,699764.07,149142.51,57025,34259,405084.82,103994.25,216058.05,45148.26,28581.19,877651.65,108190.41,2963,65807
00:00.0,691981.87,153518.1,55721,35622,372858.73,104061.15,233345.19,49456.95,27446.36,873037.25,103987.96,3131,65564
00:00.0,1019334.53,339838.05,77025,74854,603422.42,253037.21,322772.63,86800.84,34832.85,1394061.39,144011.29,5578,113506
00:00.0,1096644.07,441465.96,81072,96654,648170.66,327292.52,350750.83,114173.44,44354.36,1582530.33,139094.42,7470,132573
00:00.0,890419.06,323431.31,68072,72787,484127.83,227187.8,301546.58,96243.51,40478.11,1254394.42,121070.48,5963,104290
00:00.0,751873.27,151848.68,59753,35368,466969.39,99741.12,199605.69,52107.56,23702,927493.89,88743.34,3281,71006
00:00.0,965812.37,175906.39,70216,38802,640644.56,132473.23,254774.32,43433.16,23467.28,1165279.96,156282.69,3481,80490
00:00.0,739322.63,172644.95,56922,38998,441886.64,123252.29,221304.8,49392.66,26280.06,938327.57,105716.91,3989,70911
00:00.0,722310.87,158398.5,54264,36092,415773.09,109252.04,228248.32,49146.46,27012.32,907858.58,95425.65,3442,67182
00:00.0,1039994.95,307145.7,76035,67154,628652.52,227596.54,327992.38,79549.16,32784.85,1380015.43,151558.02,5532,109576
