,Date,Symbol,CDLDOJI,Close,return_5,return_10,return_15
159,2021-08-25,TATACOMM,100,1401.4,-1.2772941344370015,-2.226345083487946,-1.348651348651353
172,2021-09-14,TATACOMM,100,1359.9,4.651077285094485,2.6435767335833305,6.717405691594958
204,2021-10-29,TATACOMM,100,1307.4,-1.946611595533121,-6.990974453113052,-5.65626434144103
212,2021-11-11,TATACOMM,100,1237.7,1.8219277692494096,4.888098893108195,5.296113759392407
226,2021-12-02,TATACOMM,100,1275.8,7.367926007211167,7.477661075403685,9.390186549615919
230,2021-12-08,TATACOMM,100,1358.45,4.126025985498183,2.6684824616290514,3.1175236482755997
231,2021-12-09,TATACOMM,100,1369.8,0.10220470141626414,1.8834866403854456,2.011242517155787
241,2021-12-23,TATACOMM,100,1395.6,0.12539409572942528,6.147893379191749,10.740899971338491
244,2021-12-28,TATACOMM,100,1379.65,3.011633385278878,7.222846374080372,7.668611604392406
246,2021-12-30,TATACOMM,100,1397.35,6.014956882670774,10.602211328586254,3.753533474075943
257,2022-01-14,TATACOMM,100,1545.25,-11.059699077819129,-16.951949522730956,-17.43083643423393
258,2022-01-17,TATACOMM,100,1551.6,-16.644109306522303,-15.851379221448813,-18.24245939675174
267,2022-01-31,TATACOMM,100,1283.3,-0.5766383542429532,-5.637808774253871,-3.8923088911400283
268,2022-02-01,TATACOMM,100,1305.65,-2.8414965725883756,-3.040631103281899,-6.521655880212929
269,2022-02-02,TATACOMM,100,1312.35,-2.1335771707242768,-4.347163485350702,-7.448470301367771
273,2022-02-08,TATACOMM,100,1268.55,-0.20495841709037288,-3.787789208151038,-7.201135154310034
281,2022-02-18,TATACOMM,100,1236.7,-4.799062019891654,-8.62375677205467,-7.265302822026376
282,2022-02-21,TATACOMM,100,1233.35,-4.0621072688206805,-7.706652612802523,-8.813394413588993
288,2022-03-02,TATACOMM,100,1177.2,-1.4610941216445794,-0.6753312945973589,-1.0490995582738805
17,2021-01-27,TATACONSUM,100,572.65,1.3097005151488705,4.907011263424432,10.390290753514364
24,2021-02-05,TATACONSUM,100,592.5,2.5316455696202445,4.126582278481017,2.8101265822784827
25,2021-02-08,TATACONSUM,100,597.1,4.354379500921124,3.5504940545971975,4.597219896164795
26,2021-02-09,TATACONSUM,100,598.7,4.95239685986304,4.810422582261564,5.620511107399362
27,2021-02-10,TATACONSUM,100,600.75,5.226799833541396,4.194756554307122,6.017478152309619
31,2021-02-16,TATACONSUM,100,628.35,-0.1352749263945241,0.6365878889154075,-2.649797087610406
35,2021-02-22,TATACONSUM,100,618.3,1.0108361636745888,-0.363901018922852,-1.2372634643377012
38,2021-02-25,TATACONSUM,100,628.5,0.4136833731105849,-2.1081941129673876,-4.494828957836116
42,2021-03-03,TATACONSUM,100,636.9,-2.5043177892918767,-6.594441827602449,-3.462081959491281
50,2021-03-16,TATACONSUM,100,610.65,3.840170310325064,4.626217964464097,9.833783673135187
76,2021-04-27,TATACONSUM,100,673.7,-4.222947899658614,-4.76473207659196,-3.0428974320914404
77,2021-04-28,TATACONSUM,100,677.15,-4.149745255851734,-5.47884515986119,-4.762607989367195
79,2021-04-30,TATACONSUM,100,669.5,-6.049290515309935,-2.4197162061239785,-4.391336818521285
82,2021-05-05,TATACONSUM,100,649.05,-1.386642015253059,-0.639396040366691,-0.07703566751405821
83,2021-05-06,TATACONSUM,100,653.1,-1.2172714745062096,-0.5205940897259231,0.2832644311744126
91,2021-05-19,TATACONSUM,100,653.2,-1.7299448867115874,3.1154317207593207,7.601041028781386
100,2021-06-01,TATACONSUM,100,665.8,6.706218083508575,8.06548513066987,13.652748573145113
108,2021-06-11,TATACONSUM,100,715.4,3.41067934022925,5.89879787531451,6.737489516354489
109,2021-06-14,TATACONSUM,100,714.75,3.8894718433018394,7.121371108779284,7.2123119972018035
122,2021-07-01,TATACONSUM,100,756.05,0.9589312876132627,2.1559420673235907,2.5262879439190478
127,2021-07-08,TATACONSUM,100,763.3,1.1856412943796801,1.5524695401545996,-0.9236211188261456
136,2021-07-22,TATACONSUM,100,764.2,-1.7011253598534393,0.5430515571839711,1.3151007589636166
159,2021-08-25,TATACONSUM,100,836.0,3.7619617224880386,5.239234449760755,4.545454545454541
167,2021-09-06,TATACONSUM,100,870.05,1.2930291362565294,-1.2815355439342535,-5.442215964599728
170,2021-09-09,TATACONSUM,100,875.6,-0.16560073092737326,-4.436957514846962,-8.491320237551392
174,2021-09-16,TATACONSUM,100,874.0,-2.671624713958809,-6.910755148741421,-5.657894736842106
183,2021-09-29,TATACONSUM,100,823.45,-0.3400327888760768,2.9995749590139065,-1.0504584370635839
192,2021-10-12,TATACONSUM,100,816.15,1.3232861606322421,0.31856889052257475,1.3171598358144854
210,2021-11-09,TATACONSUM,100,835.65,-0.2692514808831481,-4.391790821516173,-7.521091366002519
214,2021-11-15,TATACONSUM,100,852.55,-3.706527476394339,-8.67397806580259,-10.77356166793736
223,2021-11-29,TATACONSUM,100,766.0,-2.402088772845945,-1.5535248041775418,-7.369451697127937
226,2021-12-02,TATACONSUM,100,773.25,0.5496281926931745,-4.267701260911738,-6.013579049466533
229,2021-12-07,TATACONSUM,100,760.7,-2.7869067963717686,-7.230182726436174,-4.436703036676748
245,2021-12-29,TATACONSUM,100,726.65,0.9564439551365878,1.3004885433152147,-1.2385605174430658
246,2021-12-30,TATACONSUM,100,728.0,-0.35027472527472403,0.3021978021978011,-0.6249999999999978
248,2022-01-03,TATACONSUM,100,748.0,-2.152406417112307,2.2860962566845,-7.560160427807483
267,2022-01-31,TATACONSUM,100,727.3,-3.0936339887254194,-4.5373298501306225,-1.9386772996012547
269,2022-02-02,TATACONSUM,100,742.45,-5.690618896895416,-5.582867533167224,-2.5860327294767393
275,2022-02-10,TATACONSUM,100,706.7,1.9315126644969594,-4.103580019810382,-5.200226404414887
288,2022-03-02,TATACONSUM,100,711.0,-1.6666666666666718,5.182841068917021,4.149085794655405
291,2022-03-07,TATACONSUM,100,659.85,9.456694703341672,14.101689777979832,
296,2022-03-14,TATACONSUM,100,722.25,4.243682935271709,,
28,2021-02-11,TATAMOTORS,100,325.0,-0.35384615384614904,2.5076923076922997,4.36923076923077
29,2021-02-12,TATAMOTORS,100,325.4,-4.164105716041777,-0.7529194837123554,-0.0768285187461637
39,2021-02-26,TATAMOTORS,100,322.95,0.6812200030964499,-1.3624400061928998,-6.161944573463374
42,2021-03-03,TATAMOTORS,100,348.5,-7.761836441893832,-11.90817790530847,-18.063127690100423
43,2021-03-04,TATAMOTORS,100,339.2,-6.382665094339613,-8.91804245283019,-12.617924528301893
50,2021-03-16,TATAMOTORS,100,319.95,-3.9224878887326176,-5.672761368963897,-1.875293014533519
61,2021-04-01,TATAMOTORS,100,307.75,3.3956133225020224,-2.063363119415118,-2.0308692120227456
69,2021-04-15,TATAMOTORS,100,303.5,-3.130148270181221,-3.1795716639209104,-0.24711696869851307
73,2021-04-22,TATAMOTORS,100,294.55,2.4953318621626197,2.2746562553046967,6.009166525207932
84,2021-05-07,TATAMOTORS,100,302.75,6.061106523534288,3.005780346820819,5.284888521882736
93,2021-05-21,TATAMOTORS,100,313.1,1.8045352922388957,6.978601085915037,12.024912168636215
95,2021-05-25,TATAMOTORS,100,315.25,0.9040444091990452,11.895321173671691,11.879460745440129
96,2021-05-26,TATAMOTORS,100,315.5,2.377179080824088,8.827258320126784,10.729001584786069
99,2021-05-31,TATAMOTORS,100,318.75,8.392156862745104,11.670588235294122,4.878431372549019
102,2021-06-03,TATAMOTORS,100,325.65,5.86519269154,6.141563027790564,2.763703362505754
107,2021-06-10,TATAMOTORS,100,344.75,0.26105873821609116,-2.929659173314003,-0.14503263234227903
111,2021-06-16,TATAMOTORS,100,349.35,-4.036066981537145,-2.7908973808501547,-9.231429798196656
115,2021-06-22,TATAMOTORS,100,337.9,1.0802012429713015,-6.214856466410179,-7.975732465226393
117,2021-06-24,TATAMOTORS,100,334.65,2.8686687584043025,-8.456596444046005,-7.2911997609442665
123,2021-07-02,TATAMOTORS,100,344.9,-11.191649753551747,-9.756451145259494,-15.004349086691793
128,2021-07-09,TATAMOTORS,100,306.3,1.6160626836434933,-4.2931766242246265,-3.0852105778648387
130,2021-07-13,TATAMOTORS,100,310.95,-2.830036983437856,-8.52227046148899,-4.116417430455066
131,2021-07-14,TATAMOTORS,100,309.55,-2.2613471167824306,-5.378775642061062,-3.182038442900992
132,2021-07-15,TATAMOTORS,100,310.25,-4.738114423851725,-5.253827558420632,-3.28767123287671
133,2021-07-16,TATAMOTORS,100,311.25,-5.815261044176712,-4.626506024096377,-4.224899598393572
134,2021-07-19,TATAMOTORS,100,308.85,-5.649991905455742,-1.6674761210943911,-4.7434029464141325
142,2021-07-30,TATAMOTORS,100,293.95,2.07518285422692,4.524579010035734,-5.7832964789930275
147,2021-08-06,TATAMOTORS,100,300.05,2.3996000666555606,-7.6987168805199175,-2.699550074987511
150,2021-08-11,TATAMOTORS,100,295.45,-0.7107801658486901,-3.7739042139109724,-0.7784735149771627
160,2021-08-26,TATAMOTORS,100,284.3,3.112908899050293,5.15300738656348,8.547309180443197
167,2021-09-06,TATAMOTORS,100,297.45,2.9080517734073164,1.5128593040847127,10.707681963355187
185,2021-10-01,TATAMOTORS,100,333.3,14.896489648964884,52.8952895289529,43.984398439843964
195,2021-10-18,TATAMOTORS,100,509.6,-5.8281004709576205,-4.689952904238625,0.009811616954458202
204,2021-10-29,TATAMOTORS,100,483.7,3.65929295017573,4.496588794707468,2.439528633450494
205,2021-11-01,TATAMOTORS,100,485.7,4.931027383158315,6.866378422894792,0.6073708050236659
207,2021-11-03,TATAMOTORS,100,484.9,3.825531037327279,5.114456588987415,-5.093833780160861
208,2021-11-04,TATAMOTORS,100,489.7,3.542985501327345,-0.7351439656932746,-5.768838064120896
213,2021-11-12,TATAMOTORS,100,507.05,-4.131742431712848,-8.993195937284293,-7.8591854846662095
214,2021-11-15,TATAMOTORS,100,505.45,-1.9685428825798823,-9.268968246117314,-4.67899891186071
221,2021-11-25,TATAMOTORS,100,492.75,-2.770167427701664,0.2435312024352987,-0.1623541349568769
226,2021-12-02,TATAMOTORS,100,479.1,3.099561678146512,2.6821122938843533,-1.4088916718847821
227,2021-12-03,TATAMOTORS,100,480.1,2.9889606332013985,-2.062070401999594,-2.6036242449489655
252,2022-01-07,TATAMOTORS,100,490.6,3.933958418263339,2.2931104769669863,5.534039951080305
257,2022-01-14,TATAMOTORS,100,509.9,-1.5787409295940247,1.539517552461267,-3.0005883506569853
275,2022-02-10,TATAMOTORS,100,507.45,-1.4779781259237401,-15.666568134791603,-17.775150261109463
292,2022-03-08,TATAMOTORS,100,391.75,5.590299936183785,11.244416081684761,
22,2021-02-03,TATAPOWER,100,84.2,4.63182897862231,8.194774346793343,11.69833729216152
27,2021-02-10,TATAPOWER,100,88.1,3.4052213393870545,6.7536889897843455,19.466515323496036
32,2021-02-17,TATAPOWER,100,91.1,3.2381997804610263,15.532381997804624,17.837541163556537
41,2021-03-02,TATAPOWER,100,100.35,6.626806178375699,2.939711011459889,0.8968609865470878
45,2021-03-08,TATAPOWER,100,109.05,0.5960568546538259,-4.1265474552957375,-5.318661164603389
54,2021-03-22,TATAPOWER,100,104.75,-1.0978520286396232,-0.28639618138424083,-10.119331742243432
55,2021-03-23,TATAPOWER,100,104.55,-1.2434241989478734,0.3825920612147371,-7.0779531324724925
60,2021-03-31,TATAPOWER,100,103.25,1.6464891041162222,-5.9079903147699735,-6.731234866828095
64,2021-04-07,TATAPOWER,100,104.45,-9.861177596936333,-8.425083772139775,-5.361416945907138
65,2021-04-08,TATAPOWER,100,104.95,-7.432110528823244,-8.24202000952835,-4.859456884230595
73,2021-04-22,TATAPOWER,100,94.25,3.6074270557029164,9.177718832891246,7.692307692307687
90,2021-05-18,TATAPOWER,100,105.35,1.9933554817275878,-0.6644518272425182,11.10583768391078
97,2021-05-27,TATAPOWER,100,106.35,2.162670427832647,19.98119417019275,16.549130230371432
