tsfTenantID,networkID,cidrBlock,userdefined_region
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,99.77.250.0/24,eu-west-1
dc8133f0-d44d-11eb-a1aa-0a58c0a85c94,dc97c376-d4f8-11eb-a1aa-0a58c0a85c94,46.137.0.0/17,eu-west-1
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.148.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,99.77.130.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,99.150.56.0/21,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,15.193.7.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,18.236.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.200.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,64.252.72.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.94.249.64/28,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.245.0.0/16,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,99.77.152.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,35.160.0.0/13,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.68.0.0/14,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.212.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,99.77.253.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,35.80.0.0/12,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.12.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.75.0.0/16,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.218.0.0/16,us-west-2
