STATION,NAME,DATE,TMAX
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-01,70
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-02,71
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-03,65
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-04,64
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-05,67
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-06,62
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-07,70
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-08,79
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-09,67
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-10,73
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-11,77
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-12,68
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-13,57
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-14,63
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-15,69
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-16,73
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-17,58
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-18,59
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-19,63
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-20,63
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-21,71
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-22,70
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-23,70
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-24,73
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-25,69
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-26,48
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-27,56
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-28,62
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-29,59
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-30,54
USC00367732,"SAFE HARBOR DAM, PA US",2020-10-31,49
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-01,48
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-02,56
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-03,46
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-04,57
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-05,65
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-06,66
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-07,65
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-08,66
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-09,65
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-10,68
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-11,68
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-12,66
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-13,64
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-14,55
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-15,54
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-16,64
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-17,56
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-18,52
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-19,41
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-20,48
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-21,59
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-22,56
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-23,56
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-24,54
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-25,49
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-26,59
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-27,62
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-28,54
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-29,54
USC00367732,"SAFE HARBOR DAM, PA US",2020-11-30,55
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-01,60
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-02,45
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-03,43
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-04,53
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-05,53
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-06,45
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-07,42
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-08,38
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-09,43
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-10,42
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-11,47
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-12,55
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-13,53
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-14,57
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-15,41
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-16,39
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-17,30
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-18,35
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-19,35
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-20,32
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-21,41
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-22,38
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-23,45
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-24,45
USC00367732,"SAFE HARBOR DAM, PA US",2020-12-25,59
