Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2019-04-08,0.0639,,0.0407,,0.0269,,0.0000,,0.0561,,0.0529,,0.0362,,0.0110,,0.0199,,0.0458,,,213,0.0671,238,0.0635,327,0.0542,195,0.0702,109,0.0939,238,0.0635,275,0.0591,312,0.0555,481,0.0447,492,0.0442,us,Twitch,Daily Users
2019-04-15,0.0931,,0.0311,,0.0236,,0.0000,,0.0881,,0.0638,,0.0371,,0.0000,,0.0261,,0.0448,,,218,0.0664,265,0.0602,370,0.0509,225,0.0653,101,0.0975,289,0.0576,268,0.0599,367,0.0512,591,0.0403,487,0.0444,us,Twitch,Daily Users
2019-04-22,0.1085,,0.0242,,0.0091,,0.0100,,0.1349,,0.0603,,0.0123,,0.0047,,0.0257,,0.0418,,,260,0.0608,300,0.0566,472,0.0451,238,0.0635,104,0.0961,340,0.0531,315,0.0552,463,0.0455,684,0.0375,585,0.0405,us,Twitch,Daily Users
2019-04-29,0.0933,,0.0282,,0.0127,,0.0055,,0.1302,,0.0463,,0.0209,,0.0039,,0.0118,,0.0533,,,288,0.0577,298,0.0568,447,0.0464,284,0.0582,129,0.0863,351,0.0523,332,0.0538,441,0.0467,667,0.0379,649,0.0385,us,Twitch,Daily Users
2019-05-06,0.1210,,0.0683,0.0401,0.0018,,0.0080,,0.1808,,0.0738,,0.0220,,0.0068,,0.0303,0.0185,0.0595,,,283,0.0583,272,0.0594,451,0.0461,254,0.0615,122,0.0887,317,0.0550,334,0.0536,423,0.0476,660,0.0381,599,0.0400,us,Twitch,Daily Users
2019-05-13,0.0892,,0.0488,,0.0087,,0.0000,,0.1387,,0.0560,,0.0190,,0.0015,,0.0129,,0.0569,,,252,0.0617,274,0.0592,395,0.0493,229,0.0648,116,0.0910,309,0.0558,277,0.0589,400,0.0490,594,0.0402,556,0.0416,us,Twitch,Daily Users
2019-05-20,0.1187,,0.0405,,0.0067,,0.0025,,0.1469,,0.0656,,0.0231,,0.0016,,0.0184,,0.0627,,,309,0.0558,350,0.0524,433,0.0471,277,0.0589,135,0.0843,404,0.0488,318,0.0550,440,0.0467,708,0.0368,660,0.0381,us,Twitch,Daily Users
2019-05-27,0.1069,,0.0313,,0.0049,,0.0082,,0.1482,,0.0512,,0.0173,,0.0048,,0.0294,,0.0337,-0.0290,,265,0.0602,345,0.0528,511,0.0434,275,0.0591,108,0.0943,376,0.0505,369,0.0510,472,0.0451,737,0.0361,658,0.0382,us,Twitch,Daily Users
2019-06-03,0.1644,,0.0560,,0.0147,,0.0000,,0.2212,,0.0900,,0.0294,,0.0021,,0.0316,,0.0775,0.0438,,302,0.0564,356,0.0519,485,0.0445,260,0.0608,136,0.0840,395,0.0493,343,0.0529,480,0.0447,696,0.0371,707,0.0369,us,Twitch,Daily Users
2019-06-10,0.1255,,0.0451,,0.0095,,0.0000,,0.1574,,0.0606,,0.0367,,0.0022,,0.0040,-0.0276,0.0855,,,344,0.0528,324,0.0544,485,0.0445,283,0.0583,161,0.0772,383,0.0501,351,0.0523,473,0.0451,741,0.0360,695,0.0372,us,Twitch,Daily Users
2019-06-17,0.1150,,0.0462,,0.0067,,0.0111,,0.1318,,0.0805,,0.0110,,0.0054,,0.0146,,0.0756,,,346,0.0527,320,0.0548,434,0.0470,269,0.0598,169,0.0754,382,0.0501,324,0.0544,431,0.0472,704,0.0369,665,0.0380,us,Twitch,Daily Users
2019-06-24,0.1087,,0.0397,,0.0025,,0.0000,,0.1481,,0.0482,,0.0220,,0.0000,,0.0115,,0.0588,,,273,0.0593,279,0.0587,426,0.0475,239,0.0634,141,0.0825,305,0.0561,285,0.0581,420,0.0478,628,0.0391,589,0.0404,us,Twitch,Daily Users
2019-07-01,0.0805,,0.0665,,0.0224,0.0199,0.0032,,0.0797,,0.0730,,0.0439,,0.0074,,0.0164,,0.0729,,,309,0.0558,336,0.0535,445,0.0465,280,0.0586,139,0.0831,388,0.0498,327,0.0542,452,0.0461,739,0.0360,630,0.0390,us,Twitch,Daily Users
2019-07-08,0.1170,,0.0411,,0.0000,-0.0224,0.0000,,0.1406,,0.0660,,0.0051,-0.0388,0.0000,,0.0171,,0.0559,,,291,0.0574,272,0.0594,465,0.0454,269,0.0598,168,0.0756,301,0.0565,340,0.0531,410,0.0484,701,0.0370,595,0.0402,us,Twitch,Daily Users
2019-07-15,0.1223,,0.0508,,0.0148,0.0148,0.0000,,0.1561,,0.0776,,0.0112,,0.0137,0.0137,0.0216,,0.0692,,,302,0.0564,355,0.0520,492,0.0442,262,0.0605,131,0.0856,406,0.0486,363,0.0514,443,0.0466,742,0.0360,667,0.0379,us,Twitch,Daily Users
2019-07-22,0.1198,,0.0424,,0.0083,,0.0000,,0.1572,,0.0700,,0.0097,,0.0064,,0.0176,,0.0650,,,333,0.0537,389,0.0497,492,0.0442,293,0.0573,152,0.0795,426,0.0475,365,0.0513,491,0.0442,790,0.0349,716,0.0366,us,Twitch,Daily Users
2019-07-29,0.1001,,0.0427,,0.0080,,0.0000,,0.1380,,0.0526,,0.0162,,0.0063,,0.0223,,0.0484,,,301,0.0565,346,0.0527,443,0.0466,290,0.0575,143,0.0820,389,0.0497,335,0.0535,440,0.0467,703,0.0370,676,0.0377,us,Twitch,Daily Users
2019-08-05,0.0971,,0.0323,,0.0073,,0.0110,,0.0969,,0.0649,,0.0164,,0.0061,,0.0110,,0.0553,,,292,0.0574,361,0.0516,505,0.0436,240,0.0633,130,0.0860,383,0.0501,380,0.0503,436,0.0469,697,0.0371,700,0.0370,us,Twitch,Daily Users
2019-08-12,0.0840,,0.0459,,0.0168,,0.0079,,0.1166,,0.0580,,0.0274,,0.0090,,0.0153,,0.0589,,,264,0.0603,339,0.0532,436,0.0469,251,0.0619,109,0.0939,371,0.0509,328,0.0541,417,0.0480,664,0.0380,626,0.0392,us,Twitch,Daily Users
2019-08-19,0.0870,,0.0317,,0.0111,,0.0075,,0.1176,,0.0515,,0.0199,,0.0043,,0.0157,,0.0495,,,291,0.0574,340,0.0531,461,0.0456,251,0.0619,132,0.0853,358,0.0518,363,0.0514,433,0.0471,692,0.0373,651,0.0384,us,Twitch,Daily Users
2019-08-26,0.1141,,0.0457,,0.0211,,0.0032,,0.1747,,0.0592,,0.0362,,0.0056,,0.0135,,0.0721,,,261,0.0607,361,0.0516,456,0.0459,255,0.0614,108,0.0943,376,0.0505,359,0.0517,450,0.0462,673,0.0378,660,0.0381,us,Twitch,Daily Users
