Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-07-02,0.4765,,0.5686,,0.6082,,0.5347,,0.3728,,0.5595,,0.6061,,0.5880,0.0733,0.6444,0.0549,0.4676,,,308,0.0558,356,0.0519,512,0.0433,272,0.0594,121,0.0891,379,0.0503,369,0.0510,504,0.0437,729,0.0363,718,0.0366,us,Facebook,Daily Users
2018-07-09,0.4512,,0.5485,,0.5563,,0.5020,,0.3549,,0.5453,,0.5483,,0.5268,,0.5993,,0.4459,,,280,0.0586,353,0.0522,480,0.0447,274,0.0592,127,0.0870,354,0.0521,361,0.0516,481,0.0447,691,0.0373,695,0.0372,us,Facebook,Daily Users
2018-07-16,0.4868,,0.6012,,0.5441,,0.4523,,0.3430,,0.5929,,0.5693,,0.5177,,0.5833,,0.4722,,,307,0.0559,386,0.0499,509,0.0434,296,0.0570,119,0.0898,404,0.0488,370,0.0509,521,0.0429,765,0.0354,733,0.0362,us,Facebook,Daily Users
2018-07-23,0.4730,,0.6435,,0.4950,,0.4554,,0.3273,,0.5793,,0.5735,,0.4939,,0.6062,,0.4308,,,305,0.0561,350,0.0524,499,0.0439,276,0.0590,105,0.0956,376,0.0505,382,0.0501,504,0.0437,719,0.0365,711,0.0368,us,Facebook,Daily Users
2018-07-30,0.5255,,0.5676,-0.0759,0.5028,,0.5350,,0.4016,,0.5756,,0.5130,,0.5399,,0.5926,,0.4712,,,300,0.0566,348,0.0525,481,0.0447,303,0.0563,100,0.0980,400,0.0490,366,0.0512,487,0.0444,695,0.0372,737,0.0361,us,Facebook,Daily Users
2018-08-06,0.4950,,0.5872,,0.5351,,0.5039,,0.4166,,0.5671,,0.5623,,0.5211,,0.5852,,0.4786,,,310,0.0557,341,0.0531,472,0.0451,296,0.0570,126,0.0873,384,0.0500,378,0.0504,466,0.0454,715,0.0366,705,0.0369,us,Facebook,Daily Users
2018-08-13,0.4051,-0.0899,0.6005,,0.5119,,0.5308,,0.2897,-0.1269,0.5181,,0.5872,,0.5150,,0.6026,,0.4091,-0.0695,,340,0.0531,343,0.0529,462,0.0456,233,0.0642,125,0.0877,410,0.0484,348,0.0525,437,0.0469,724,0.0364,654,0.0383,us,Facebook,Daily Users
2018-08-20,0.4785,,0.5127,-0.0878,0.5550,,0.4566,,0.3645,,0.5066,,0.5559,,0.5123,,0.5712,,0.4401,,,248,0.0622,389,0.0497,483,0.0446,288,0.0577,85,0.1063,406,0.0486,392,0.0495,447,0.0464,747,0.0359,661,0.0381,us,Facebook,Daily Users
2018-08-27,0.4646,,0.5604,,0.5177,,0.5000,,0.4219,,0.5386,,0.5441,,0.4994,,0.5859,,0.4454,,,541,0.0421,716,0.0366,926,0.0322,502,0.0437,212,0.0673,745,0.0359,729,0.0363,871,0.0332,1332,0.0269,1353,0.0266,us,Facebook,Daily Users
2018-09-03,0.4819,,0.5712,,0.5510,,0.5084,,0.3805,,0.5442,,0.5754,,0.5312,,0.5959,,0.4669,,,3893,0.0157,4996,0.0139,6597,0.0121,3829,0.0158,1328,0.0269,5417,0.0133,5141,0.0137,6422,0.0122,10026,0.0098,9289,0.0102,us,Facebook,Daily Users
