Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-06-25,0.4358,0.1211,0.2016,,0.0635,,0.0024,,0.4982,,0.3205,0.1218,0.1155,,0.0223,,0.1221,,0.1969,0.1162,,282,0.0584,289,0.0576,507,0.0435,278,0.0588,108,0.0943,340,0.0531,353,0.0522,478,0.0448,706,0.0369,650,0.0384,us,Snapchat,Daily Users
2018-07-02,0.3849,,0.1620,,0.0689,,0.0125,,0.5027,,0.2511,-0.0694,0.1073,,0.0304,,0.1797,0.0576,0.1212,-0.0757,,316,0.0551,329,0.0540,465,0.0454,284,0.0582,127,0.0870,377,0.0505,349,0.0525,484,0.0445,710,0.0368,684,0.0375,us,Snapchat,Daily Users
2018-07-09,0.4061,,0.1887,,0.0516,,0.0193,,0.5742,,0.2270,,0.1284,,0.0262,,0.1543,,0.1426,,,282,0.0584,349,0.0525,483,0.0446,305,0.0561,121,0.0891,367,0.0512,350,0.0524,510,0.0434,762,0.0355,656,0.0383,us,Snapchat,Daily Users
2018-07-16,0.4402,,0.1730,,0.0544,,0.0022,,0.5108,,0.2808,,0.1103,,0.0257,,0.1772,,0.1380,,,306,0.0560,346,0.0527,459,0.0457,282,0.0584,137,0.0837,351,0.0523,358,0.0518,464,0.0455,712,0.0367,682,0.0375,us,Snapchat,Daily Users
2018-07-23,0.4202,,0.1684,,0.0513,,0.0113,,0.4703,,0.2925,,0.1101,,0.0173,,0.1701,,0.1322,,,297,0.0569,362,0.0515,454,0.0460,295,0.0571,95,0.1005,405,0.0487,376,0.0505,455,0.0459,692,0.0373,716,0.0366,us,Snapchat,Daily Users
2018-07-30,0.4225,,0.1995,,0.0391,,0.0044,,0.5377,,0.2879,,0.1057,,0.0153,,0.1742,,0.1305,,,293,0.0573,364,0.0514,457,0.0458,292,0.0574,102,0.0970,413,0.0482,322,0.0546,503,0.0437,731,0.0362,676,0.0377,us,Snapchat,Daily Users
2018-08-06,0.4516,,0.1604,,0.0506,,0.0000,,0.5200,,0.2883,,0.0988,,0.0189,,0.1977,,0.1255,,,347,0.0526,354,0.0521,479,0.0448,285,0.0581,149,0.0803,407,0.0486,344,0.0528,478,0.0448,746,0.0359,718,0.0366,us,Snapchat,Daily Users
2018-08-13,0.4089,,0.1994,,0.0577,,0.0252,0.0252,0.5255,,0.2962,,0.0897,,0.0336,,0.1563,-0.0415,0.1429,,,257,0.0611,345,0.0528,510,0.0434,293,0.0573,85,0.1063,374,0.0507,379,0.0503,486,0.0445,742,0.0360,664,0.0380,us,Snapchat,Daily Users
2018-08-20,0.3860,,0.1774,,0.0384,,0.0073,,0.5555,,0.2682,,0.0696,,0.0185,,0.1470,,0.1348,,,313,0.0554,348,0.0525,481,0.0447,296,0.0570,104,0.0961,418,0.0479,351,0.0523,472,0.0451,757,0.0356,681,0.0376,us,Snapchat,Daily Users
2018-08-27,0.3534,,0.1817,,0.0656,,0.0075,,0.4591,,0.2443,,0.1046,,0.0362,,0.1211,,0.1522,,,266,0.0601,341,0.0531,495,0.0440,299,0.0567,93,0.1016,379,0.0503,359,0.0517,500,0.0438,721,0.0365,681,0.0376,us,Snapchat,Daily Users
2018-09-03,0.3277,,0.1907,,0.0570,,0.0122,,0.4371,,0.2655,,0.0910,,0.0242,,0.1586,0.0375,0.1111,-0.0412,,264,0.0603,356,0.0519,481,0.0447,263,0.0604,89,0.1039,381,0.0502,371,0.0509,452,0.0461,705,0.0369,659,0.0382,us,Snapchat,Daily Users
2018-09-10,0.2957,,0.1346,,0.0673,,0.0093,,0.3881,,0.2037,,0.0980,,0.0273,,0.1502,,0.0933,,,295,0.0571,335,0.0535,440,0.0467,261,0.0607,102,0.0970,383,0.0501,361,0.0516,412,0.0483,707,0.0369,625,0.0392,us,Snapchat,Daily Users
2018-09-17,0.3812,0.0855,0.1494,,0.0600,,0.0080,,0.4177,,0.2868,0.0831,0.0652,,0.0306,,0.1507,,0.1367,0.0434,,304,0.0562,337,0.0534,481,0.0447,246,0.0625,118,0.0902,387,0.0498,359,0.0517,449,0.0462,715,0.0366,653,0.0384,us,Snapchat,Daily Users
2018-09-24,0.3716,,0.1791,,0.0463,,0.0021,,0.4362,,0.2645,,0.1039,,0.0121,,0.1669,,0.1070,,,282,0.0584,330,0.0539,440,0.0467,274,0.0592,104,0.0961,364,0.0514,366,0.0512,427,0.0474,715,0.0366,611,0.0396,us,Snapchat,Daily Users
2018-10-01,0.3416,,0.1881,,0.0953,0.0490,0.0093,,0.3769,,0.2612,,0.1522,,0.0335,,0.1571,,0.1484,0.0415,,271,0.0595,313,0.0554,423,0.0476,262,0.0605,107,0.0947,348,0.0525,319,0.0549,432,0.0472,669,0.0379,600,0.0400,us,Snapchat,Daily Users
2018-10-08,0.3453,,0.1584,,0.0480,-0.0473,0.0061,,0.4522,,0.2407,,0.0742,-0.0780,0.0252,,0.1526,,0.1116,,,314,0.0553,352,0.0522,462,0.0456,279,0.0587,125,0.0877,382,0.0501,370,0.0509,459,0.0457,756,0.0356,650,0.0384,us,Snapchat,Daily Users
2018-10-15,0.4368,0.0915,0.1867,,0.0887,0.0407,0.0039,,0.4984,,0.3176,0.0769,0.1311,0.0569,0.0405,,0.1920,,0.1659,0.0543,,305,0.0561,337,0.0534,426,0.0475,247,0.0624,118,0.0902,349,0.0525,367,0.0512,420,0.0478,646,0.0386,668,0.0379,us,Snapchat,Daily Users
