Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Generation: Early Boomers,Generation: Early Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Generation: Early Boomers (n),Generation: Early Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-07-02,0.2453,,0.1736,,0.1300,,0.0615,,0.3139,,0.1981,,0.1580,,0.0877,,0.0655,,0.1292,,0.1870,,,353,0.0522,354,0.0521,443,0.0466,248,0.0622,127,0.0870,414,0.0482,368,0.0511,422,0.0477,192,0.0707,702,0.0370,697,0.0371,us,Twitter,Daily Users
2018-07-09,0.1971,,0.1510,,0.1186,,0.0485,,0.1799,-0.1340,0.1597,,0.1567,,0.0846,,0.0601,,0.1025,,0.1537,,,264,0.0603,293,0.0573,463,0.0455,291,0.0574,103,0.0966,347,0.0526,309,0.0558,490,0.0443,260,0.0608,706,0.0369,606,0.0398,us,Twitter,Daily Users
2018-07-16,0.2211,,0.1447,,0.1039,,0.0720,,0.3104,0.1305,0.1534,,0.1492,,0.0694,,0.0734,,0.0962,,0.1700,,,304,0.0562,304,0.0562,466,0.0454,302,0.0564,129,0.0863,351,0.0523,314,0.0553,506,0.0436,241,0.0631,712,0.0367,664,0.0380,us,Twitter,Daily Users
2018-07-23,0.2166,,0.1299,,0.1137,,0.0930,,0.2614,,0.1700,,0.1215,,0.0972,,0.0900,,0.0970,,0.1847,,,307,0.0559,319,0.0549,444,0.0465,278,0.0588,116,0.0910,364,0.0514,342,0.0530,436,0.0469,212,0.0673,738,0.0361,610,0.0397,us,Twitter,Daily Users
2018-07-30,0.2082,,0.1869,,0.1009,,0.0740,,0.1466,,0.2136,,0.1663,,0.0756,,0.0872,,0.1087,,0.1713,,,300,0.0566,339,0.0532,462,0.0456,310,0.0557,101,0.0975,403,0.0488,314,0.0553,530,0.0426,266,0.0601,742,0.0360,670,0.0379,us,Twitter,Daily Users
2018-08-06,0.1791,,0.1460,,0.0854,,0.0570,,0.2382,,0.1291,-0.0845,0.1503,,0.0616,,0.0572,,0.0738,-0.0349,0.1538,,,292,0.0574,341,0.0531,521,0.0429,278,0.0588,94,0.1011,393,0.0494,368,0.0511,500,0.0438,223,0.0656,722,0.0365,709,0.0368,us,Twitter,Daily Users
2018-08-13,0.2373,,0.1376,,0.1103,,0.0446,,0.2932,,0.1668,,0.1218,,0.0899,,0.0502,,0.1038,,0.1590,,,292,0.0574,317,0.0550,454,0.0460,269,0.0598,96,0.1000,397,0.0492,312,0.0555,476,0.0449,239,0.0634,668,0.0379,665,0.0380,us,Twitter,Daily Users
2018-08-20,0.2066,,0.1507,,0.1147,,0.0558,,0.2612,,0.1721,,0.1332,,0.0784,,0.0695,,0.0856,,0.1826,,,296,0.0570,342,0.0530,418,0.0479,254,0.0615,118,0.0902,382,0.0501,319,0.0549,409,0.0485,199,0.0695,663,0.0381,646,0.0386,us,Twitter,Daily Users
2018-08-27,0.2114,,0.1227,,0.1379,,0.0483,,0.2384,,0.1538,,0.1453,,0.0904,,0.0449,,0.1127,,0.1532,,,558,0.0415,705,0.0369,935,0.0320,495,0.0440,212,0.0673,744,0.0359,733,0.0362,884,0.0330,419,0.0479,1363,0.0265,1330,0.0269,us,Twitter,Daily Users
2018-09-03,0.1920,,0.1440,,0.1088,-0.0291,0.0569,,0.2118,,0.1606,,0.1338,,0.0795,,0.0614,,0.0968,,0.1544,,,3932,0.0156,4998,0.0139,6606,0.0121,3830,0.0158,1332,0.0269,5464,0.0133,5148,0.0137,6411,0.0122,3105,0.0176,10056,0.0098,9309,0.0102,us,Twitter,Daily Users
