Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2020-08-31,0.2780,,0.1135,,0.0746,,0.0058,,0.3213,,0.1572,,0.0861,,0.0389,,0.1322,,0.1118,,,331,0.0539,323,0.0545,445,0.0465,231,0.0645,190,0.0711,368,0.0511,337,0.0534,392,0.0495,708,0.0368,621,0.0393,us,TikTok,Daily Users
2020-09-07,0.3646,0.0867,0.1596,,0.0370,-0.0376,0.0031,,0.4198,,0.2114,,0.0986,,0.0107,-0.0282,0.1377,,0.1207,,,266,0.0601,351,0.0523,446,0.0464,253,0.0616,140,0.0828,350,0.0524,331,0.0539,444,0.0465,674,0.0377,642,0.0387,us,TikTok,Daily Users
2020-09-14,0.2494,-0.1152,0.1593,,0.0629,,0.0191,,0.3187,,0.1551,,0.1218,,0.0258,,0.1130,,0.1246,,,290,0.0575,348,0.0525,442,0.0466,273,0.0593,150,0.0800,391,0.0496,334,0.0536,415,0.0481,674,0.0377,678,0.0376,us,TikTok,Daily Users
2020-09-21,0.3029,,0.1296,,0.0546,,0.0115,,0.3782,,0.1641,,0.0941,,0.0191,,0.1452,,0.0941,,,290,0.0575,353,0.0522,468,0.0453,246,0.0625,146,0.0811,392,0.0495,359,0.0517,418,0.0479,669,0.0379,688,0.0374,us,TikTok,Daily Users
2020-09-28,0.3379,,0.1785,,0.0559,,0.0097,,0.3758,,0.2324,0.0683,0.1097,,0.0141,,0.1370,,0.1384,0.0443,,326,0.0543,381,0.0502,512,0.0433,304,0.0562,170,0.0752,401,0.0489,405,0.0487,466,0.0454,824,0.0341,698,0.0371,us,TikTok,Daily Users
2020-10-05,0.2873,,0.1927,,0.0506,,0.0064,,0.3460,,0.2080,,0.0963,,0.0148,,0.1331,,0.1279,,,364,0.0514,397,0.0492,548,0.0419,306,0.0560,212,0.0673,422,0.0477,426,0.0475,491,0.0442,834,0.0339,782,0.0350,us,TikTok,Daily Users
2020-10-12,0.3425,,0.1474,,0.0591,,0.0027,,0.4286,,0.1798,,0.0936,,0.0281,,0.1367,,0.1209,,,301,0.0565,380,0.0503,488,0.0444,289,0.0576,168,0.0756,376,0.0505,386,0.0499,462,0.0456,790,0.0349,667,0.0379,us,TikTok,Daily Users
2020-10-19,0.2881,,0.1947,,0.0664,,0.0028,,0.3541,,0.1945,,0.1338,,0.0119,,0.1469,,0.1130,,,306,0.0560,342,0.0530,522,0.0429,284,0.0582,174,0.0743,368,0.0511,385,0.0499,459,0.0457,764,0.0355,690,0.0373,us,TikTok,Daily Users
2020-10-26,0.2984,,0.1692,,0.0465,,0.0082,,0.3647,,0.1973,,0.0981,,0.0163,,0.1354,,0.1119,,,323,0.0545,400,0.0490,482,0.0446,314,0.0553,155,0.0787,457,0.0458,354,0.0521,481,0.0447,808,0.0345,711,0.0368,us,TikTok,Daily Users
2020-11-02,0.2705,,0.2160,,0.0447,,0.0029,,0.2931,,0.2557,,0.0779,,0.0151,,0.1265,,0.1420,,,201,0.0691,280,0.0586,305,0.0561,178,0.0735,99,0.0985,309,0.0558,208,0.0680,309,0.0558,512,0.0433,453,0.0460,us,TikTok,Daily Users
2020-11-09,0.2868,,0.1665,,0.0553,,0.0046,,0.3771,,0.1772,-0.0785,0.1118,,0.0149,,0.1368,,0.1028,,,274,0.0592,367,0.0512,507,0.0435,261,0.0607,145,0.0814,381,0.0502,356,0.0519,469,0.0453,711,0.0368,699,0.0371,us,TikTok,Daily Users
2020-11-16,0.3645,,0.1910,,0.0593,,0.0095,,0.5273,0.1502,0.2306,,0.0950,,0.0226,,0.1601,,0.1272,,,233,0.0642,324,0.0544,412,0.0483,227,0.0650,100,0.0980,357,0.0519,314,0.0553,386,0.0499,649,0.0385,547,0.0419,us,TikTok,Daily Users
2020-11-23,0.3868,,0.1907,,0.0669,,0.0073,,0.4614,,0.2265,,0.1256,,0.0215,,0.1722,,0.1243,,,267,0.0600,322,0.0546,447,0.0464,286,0.0579,153,0.0792,328,0.0541,332,0.0538,442,0.0466,676,0.0377,647,0.0385,us,TikTok,Daily Users
2020-11-30,0.3338,,0.1714,,0.0660,,0.0177,,0.4672,,0.1825,,0.0951,,0.0365,,0.1424,,0.1248,,,247,0.0624,281,0.0585,451,0.0461,253,0.0616,143,0.0820,293,0.0573,291,0.0574,457,0.0458,633,0.0390,599,0.0400,us,TikTok,Daily Users
2020-12-07,0.2992,,0.1497,,0.0789,,0.0166,,0.3344,-0.1328,0.2059,,0.1050,,0.0328,,0.1443,,0.1163,,,249,0.0621,270,0.0596,414,0.0482,225,0.0653,130,0.0860,322,0.0546,265,0.0602,387,0.0498,588,0.0404,569,0.0411,us,TikTok,Daily Users
2020-12-14,0.4219,0.1227,0.1643,,0.0678,,0.0090,,0.4756,0.1412,0.2290,,0.1015,,0.0317,,0.1728,,0.1186,,,205,0.0684,270,0.0596,394,0.0494,214,0.0670,120,0.0895,266,0.0601,290,0.0575,365,0.0513,575,0.0409,509,0.0434,us,TikTok,Daily Users
2020-12-21,0.3513,,0.1455,,0.0842,,0.0157,,0.3936,,0.1951,,0.1251,,0.0349,,0.1299,-0.0428,0.1448,,,267,0.0600,326,0.0543,473,0.0451,289,0.0576,153,0.0792,332,0.0538,337,0.0534,469,0.0453,718,0.0366,638,0.0388,us,TikTok,Daily Users
2020-12-28,0.3713,,0.1855,,0.0441,-0.0400,0.0236,,0.4818,,0.2028,,0.0867,,0.0264,,0.1637,,0.1237,,,294,0.0572,397,0.0492,490,0.0443,286,0.0579,172,0.0747,414,0.0482,329,0.0540,486,0.0445,739,0.0360,728,0.0363,us,TikTok,Daily Users
2021-01-04,0.3164,,0.1713,,0.0604,,0.0055,,0.4026,,0.1820,,0.0985,,0.0051,-0.0212,0.1446,,0.1170,,,307,0.0559,352,0.0522,491,0.0442,285,0.0581,206,0.0683,366,0.0512,371,0.0509,439,0.0468,752,0.0357,683,0.0375,us,TikTok,Daily Users
2021-01-11,0.3538,,0.1892,,0.0435,,0.0073,,0.3414,,0.2431,,0.0775,,0.0202,,0.1546,,0.1203,,,293,0.0573,351,0.0523,499,0.0439,255,0.0614,195,0.0702,373,0.0507,358,0.0518,421,0.0478,743,0.0360,654,0.0383,us,TikTok,Daily Users
2021-01-18,0.3568,,0.2205,,0.0581,,0.0065,,0.3966,,0.2567,,0.0808,,0.0174,,0.1490,,0.1413,,,239,0.0634,276,0.0590,424,0.0476,247,0.0624,163,0.0768,308,0.0558,266,0.0601,410,0.0484,626,0.0392,559,0.0414,us,TikTok,Daily Users
2021-01-25,0.3125,,0.1713,,0.0601,,0.0178,,0.3646,,0.1949,,0.0922,,0.0202,,0.1267,,0.1377,,,311,0.0556,334,0.0536,500,0.0438,291,0.0574,213,0.0671,368,0.0511,325,0.0544,484,0.0445,732,0.0362,704,0.0369,us,TikTok,Daily Users
2021-02-01,0.3404,,0.1945,,0.0658,,0.0147,,0.3341,,0.2384,,0.1130,,0.0181,,0.1458,,0.1410,,,251,0.0619,379,0.0503,449,0.0462,265,0.0602,157,0.0782,406,0.0486,306,0.0560,421,0.0478,682,0.0375,662,0.0381,us,TikTok,Daily Users
2021-02-08,0.4039,,0.1981,,0.0724,,0.0082,,0.4760,0.1419,0.2113,,0.1273,,0.0233,,0.1737,,0.1410,,,262,0.0605,304,0.0562,463,0.0455,248,0.0622,176,0.0739,321,0.0547,317,0.0550,421,0.0478,660,0.0381,618,0.0394,us,TikTok,Daily Users
2021-02-15,0.3501,,0.2000,,0.0824,,0.0241,,0.3984,,0.2190,,0.1268,,0.0357,,0.1393,,0.1529,,,222,0.0658,360,0.0517,451,0.0461,300,0.0566,131,0.0856,379,0.0503,332,0.0538,423,0.0476,707,0.0369,626,0.0392,us,TikTok,Daily Users
2021-02-22,0.3700,,0.2540,,0.0770,,0.0161,,0.4400,,0.2536,,0.1423,,0.0309,,0.1681,,0.1818,,,242,0.0630,331,0.0539,393,0.0494,219,0.0662,158,0.0780,340,0.0531,279,0.0587,379,0.0503,587,0.0404,597,0.0401,us,TikTok,Daily Users
2021-03-01,0.3113,,0.1731,-0.0809,0.0604,,0.0103,,0.3462,,0.2191,,0.0688,-0.0735,0.0335,,0.1430,,0.1147,-0.0671,,232,0.0643,289,0.0576,420,0.0478,215,0.0668,142,0.0822,307,0.0559,299,0.0567,376,0.0505,608,0.0397,548,0.0419,us,TikTok,Daily Users
2021-03-08,0.3717,,0.2365,,0.0611,,0.0045,,0.4785,0.1323,0.2320,,0.0886,,0.0296,,0.1716,,0.1513,,,261,0.0607,327,0.0542,382,0.0501,255,0.0614,174,0.0743,350,0.0524,258,0.0610,398,0.0491,668,0.0379,558,0.0415,us,TikTok,Daily Users
2021-03-15,0.2827,-0.0890,0.1952,,0.0676,,0.0227,,0.3713,,0.1931,,0.1181,,0.0283,,0.1542,,0.1323,,,248,0.0622,308,0.0558,340,0.0531,200,0.0693,143,0.0820,347,0.0526,242,0.0630,325,0.0544,578,0.0408,518,0.0431,us,TikTok,Daily Users
2021-03-22,0.3922,0.1096,0.2176,,0.0615,,0.0134,,0.4119,,0.2594,,0.0875,,0.0389,,0.1589,,0.1783,,,236,0.0638,264,0.0603,329,0.0540,201,0.0691,161,0.0772,286,0.0579,238,0.0635,302,0.0564,543,0.0421,487,0.0444,us,TikTok,Daily Users
2021-03-29,0.3820,,0.1907,,0.0727,,0.0186,,0.4446,,0.2192,,0.0965,,0.0413,,0.1695,,0.1526,,,272,0.0594,279,0.0587,340,0.0531,265,0.0602,182,0.0726,306,0.0560,240,0.0633,379,0.0503,614,0.0395,543,0.0421,us,TikTok,Daily Users
2021-04-05,0.3690,,0.2190,,0.0898,,0.0161,,0.3705,,0.2503,,0.1499,,0.0250,,0.1849,,0.1524,,,201,0.0691,311,0.0556,343,0.0529,193,0.0705,155,0.0787,281,0.0585,264,0.0603,310,0.0557,511,0.0434,537,0.0423,us,TikTok,Daily Users
2021-04-12,0.4756,0.1067,0.2339,,0.0595,,0.0232,,0.5478,0.1773,0.3039,,0.0986,,0.0252,,0.2361,,0.1278,,,206,0.0683,225,0.0653,327,0.0542,183,0.0724,129,0.0863,240,0.0633,227,0.0650,312,0.0555,499,0.0439,441,0.0467,us,TikTok,Daily Users
2021-04-19,0.4362,,0.2043,,0.0895,,0.0225,,0.4177,-0.1301,0.2854,,0.1549,,0.0269,,0.1995,,0.1589,,,249,0.0621,283,0.0583,385,0.0499,223,0.0656,147,0.0808,321,0.0547,270,0.0596,359,0.0517,610,0.0397,530,0.0426,us,TikTok,Daily Users
2021-04-26,0.3884,,0.2434,,0.0628,,0.0102,,0.4830,,0.2469,,0.1175,,0.0276,,0.1888,,0.1331,,,249,0.0621,303,0.0563,429,0.0473,247,0.0624,161,0.0772,322,0.0546,263,0.0604,426,0.0475,653,0.0384,574,0.0409,us,TikTok,Daily Users
