	UID	final_safety_stock
58	150358599_3DT231_914752	102.30317169978463
59	150358599_ST70_914573	12.0
60	500044716_7330_170908	10.0
61	2055150_ST70_392703	3.746435548931351
62	2055150_ST70_392703	3.746435548931351
63	2055150_ST70_392703	3.746435548931351
64	2055150_ST70_392703	3.746435548931351
65	2055150_7330_121220	3.0
66	500084793_ST70_182981	10.0
67	500084793_ST70_182981	10.0
68	500084793_H-550_111426	7.5
69	500084793_H-550_111426	7.5
70	500084793_3DT401_100957	7.5
71	500084793_3DT401_100957	7.5
72	500093974_3DT231_950459	6.5
73	500095773_3DT198_C43416	20.0
74	500095773_1318_C43414	40.0
75	150205706_3DT222_393175	10.0
76	150351311_7330_172227	10.0
77	500096999_3DT231_393326	10.0
78	500096999_73801WR_394222	10.0
79	2058745_7320_305359	10.0
80	500081254_ST70_171790	10.0
81	150358475_ST70_394315	10.0
82	150358475_ST70_394315	10.0
83	500062030_7341_39700	34.56984950523166
84	500094017_7360_170676	17.382327085830262
85	500094017_7360_170676	17.382327085830262
86	500074423_TRAC100_101967	12.824583887555205
87	500062030_7341_70703	34.43826805965978
88	150228569_3DT465_160499	33.26070380014784
89	150228569_3DT465_160499	33.26070380014784
90	150228569_3DT465_160499	33.26070380014784
91	150228569_ST70_913056	15.485343475899178
92	150228569_ST70_913056	15.485343475899178
93	150359568_ST70_914247	12.0
94	150359568_H-550_910142	12.0
95	150205509_77352NA_391877	3.0
96	150211412_73801WR_106094	7.5
97	150333254_ST70_172505	14.384241024315074
98	150333254_3DT260_915079	18.212772464132893
99	150353640_7330_394328	10.0
100	150353640_7330_394328	10.0
101	150376036_7330_912320	18.2
102	150376036_7330_913378	18.2
103	150376036_3DT231_914540	26.685486393978742
104	150116372_ST70_171030	10.0
105	150116372_3DT230_172039	10.0
106	150116372_3DT230_170764	10.0
107	150116372_ST70_172879	10.0
108	150116372_3DT230_151355	7.5
109	2229799_7330_305394	10.0
110	2229799_7330_171857	17.57997429192268
111	150151842_ST70_394037	6.5
112	150151842_ST70_394037	6.5
113	150151842_ST70_394037	6.5
114	150151842_7330_250056	7.5
115	150151842_7330_250056	7.5
116	150364546_3DT128_C36036	11.0
117	150364546_3DT128_C36036	11.0
118	2085649_73801WR_105741	9.0599167204049
119	2189632_73551_910823	12.0
120	500073040_ST70_910860	11.0
121	150377281_TRAC100_103021	7.5
122	2047139_7330_200765	12.359049679538126
123	150363842_ST70_392738	3.0
124	150353640_7330_392809	2.0
125	150353640_7330_392809	2.0
126	150384216_ST70_112235	8.309610268936506
127	2159811_3DT465_180541	19.07567794477382
128	150310170_7330_172685	21.331136325993356
129	500063459_ST70_911836	12.0
130	2070178_ST70_171091	10.0
131	500067843_3DT465_106115	7.5
132	2054418_3DT230_392684	13.151270057144966
133	150371733_ST70_911284	12.0
134	150371733_3DT231_914708	12.0
135	150371733_7330_394133	11.0
136	2099668_7330_915493	10.0
137	2093572_3DT230_303367	48.29278229263704
138	2093572_90005_905008	25.458817196484198
139	2093572_ST70_392828	3.0
140	2051881_1318_913709	11.424276184530822
141	150380468_7330_915314	10.0
142	2055150_7330_300281	2.0
143	150306279_1820_102717	7.682762141359409
144	150306279_1820_102717	7.682762141359409
145	2182968_3DT260_60723	40.0
146	2182968_3DT260_60723	40.0
147	2182968_ST70_99499	72.52560679650162
148	150391782_ST70_907792	29.460018465522662
149	150395106_73801WR_109035	20.0
150	150370197_H-550_304790	3.8442299184273674
151	150383082_7330_915414	10.0
152	500037738_3DT222_915321	10.0
153	150392357_H-550_100813	7.5
154	150392357_H-550_100813	7.5
155	150228982_3DT494_914441	12.0
156	150091179_ST70_172499	18.285474096239977
157	150386258_7330_173740	8.5
158	500096763_90005_392940	7.5
159	2093570_3DT230_173179	10.5
160	500087492_H-550_911076	12.0
161	150308377_73801WR_105919	7.5
162	500086758_ST70_151692	7.5
163	2114419_7330_56314	24.296045775129382
164	2114419_TRAC101_915157	11.0
165	2228927_H-550_950368	6.5
166	2228927_H-550_950368	6.5
167	500069642_7330_171242	10.0
168	150340628_3DT157_394084	12.0
169	500092705_ST70_172217	20.081809758525573
170	500092705_H-550_173298	10.0
171	2075443_3DT401_170836	12.75970156565346
172	2092484_3DT222_C43584	119.71361793209488
173	2092484_3DT222_C43584	119.71361793209488
174	150207807_ST70_C41005	6.5
175	2076533_7341_120581	189.20460526848086
176	150318028_3DT408_914586	29.706914439597988
177	150207807_7330_C41004	6.5
178	500047077_3DT230_911065	22.166819434561972
179	150401739_3DT231_171195	10.0
180	150401739_ST70_907782	11.501190173662486
181	150401739_7330_171451	10.0
182	150393868_3DT231_173145	22.891724317231198
183	150393868_ST70_170728	10.324981867474904
